County,crop_name,crop_count
KIAMBU,Mango,9855
KIAMBU,Coconut,0
KIAMBU,Macadamia,11748
KIAMBU,Cashew Nut,0
KIAMBU,Khat (Miraa),0
TURKANA,Farming,61209
TURKANA,Tea,0
TURKANA,Coffee,0
TURKANA,Avocado,0
TURKANA,Citrus,0
TURKANA,Mango,0
TURKANA,Coconut,0
TURKANA,Macadamia,0
TURKANA,Cashew Nut,0
TURKANA,Khat (Miraa),0
WEST POKOT,Farming,89828
WEST POKOT,Tea,0
WEST POKOT,Coffee,1026
WEST POKOT,Avocado,7535
WEST POKOT,Citrus,1173
WEST POKOT,Mango,4426
WEST POKOT,Coconut,0
WEST POKOT,Macadamia,0
WEST POKOT,Cashew Nut,0
WEST POKOT,Khat (Miraa),0
SAMBURU,Farming,43149
SAMBURU,Tea,0
SAMBURU,Coffee,0
SAMBURU,Avocado,0
SAMBURU,Citrus,0
SAMBURU,Mango,0
SAMBURU,Coconut,0
SAMBURU,Macadamia,0
SAMBURU,Cashew Nut,0
SAMBURU,Khat (Miraa),0
TRANS NZOIA,Farming,140249
TRANS NZOIA,Tea,2780
TRANS NZOIA,Coffee,4089
TRANS NZOIA,Avocado,26594
TRANS NZOIA,Citrus,1987
TRANS NZOIA,Mango,6721
TRANS NZOIA,Coconut,0
TRANS NZOIA,Macadamia,0
TRANS NZOIA,Cashew Nut,0
TRANS NZOIA,Khat (Miraa),0
UASIN GISHU,Farming,141547
UASIN GISHU,Tea,0
UASIN GISHU,Coffee,0
UASIN GISHU,Avocado,8430
UASIN GISHU,Citrus,1376
UASIN GISHU,Mango,2505
UASIN GISHU,Coconut,0
UASIN GISHU,Macadamia,0
UASIN GISHU,Cashew Nut,0
UASIN GISHU,Khat (Miraa),0
ELGEYO/MARAKWET,Farming,74881
ELGEYO/MARAKWET,Tea,751
ELGEYO/MARAKWET,Coffee,1390
ELGEYO/MARAKWET,Avocado,5224
ELGEYO/MARAKWET,Citrus,1632
ELGEYO/MARAKWET,Mango,6430
ELGEYO/MARAKWET,Coconut,0
ELGEYO/MARAKWET,Macadamia,518
ELGEYO/MARAKWET,Cashew Nut,0
ELGEYO/MARAKWET,Khat (Miraa),0
NANDI,Farming,148887
NANDI,Tea,37564
NANDI,Coffee,11044
NANDI,Avocado,29356
NANDI,Citrus,1202
NANDI,Mango,5806
NANDI,Coconut,0
NANDI,Macadamia,0
NANDI,Cashew Nut,0
NANDI,Khat (Miraa),0
BARINGO,Farming,100465
BARINGO,Tea,0
BARINGO,Coffee,3069
BARINGO,Avocado,12372
BARINGO,Citrus,2605
BARINGO,Mango,10600
BARINGO,Coconut,0
BARINGO,Macadamia,1673
BARINGO,Cashew Nut,0
BARINGO,Khat (Miraa),0
LAIKIPIA,Farming,90729
LAIKIPIA,Tea,0
LAIKIPIA,Coffee,0
LAIKIPIA,Avocado,5273
LAIKIPIA,Citrus,2121
LAIKIPIA,Mango,2103
LAIKIPIA,Coconut,0
LAIKIPIA,Macadamia,773
LAIKIPIA,Cashew Nut,0
LAIKIPIA,Khat (Miraa),0
NAKURU,Farming,283652
NAKURU,Tea,10041
NAKURU,Coffee,0
NAKURU,Avocado,20209
NAKURU,Citrus,4332
NAKURU,Mango,6560
NAKURU,Coconut,0
NAKURU,Macadamia,0
NAKURU,Cashew Nut,0
NAKURU,Khat (Miraa),0
NAROK,Farming,181706
NAROK,Tea,0
NAROK,Coffee,0
NAROK,Avocado,13430
NAROK,Citrus,1784
NAROK,Mango,2332
NAROK,Coconut,0
NAROK,Macadamia,0
NAROK,Cashew Nut,0
NAROK,Khat (Miraa),0
KAJIADO,Farming,97565
KAJIADO,Tea,0
KAJIADO,Coffee,0
KAJIADO,Avocado,2994
KAJIADO,Citrus,0
KAJIADO,Mango,2776
KAJIADO,Coconut,0
KAJIADO,Macadamia,0
KAJIADO,Cashew Nut,0
KAJIADO,Khat (Miraa),0
KERICHO,Farming,150845
KERICHO,Tea,55837
KERICHO,Coffee,24774
KERICHO,Avocado,40748
KERICHO,Citrus,2283
KERICHO,Mango,5588
KERICHO,Coconut,0
KERICHO,Macadamia,0
KERICHO,Cashew Nut,0
KERICHO,Khat (Miraa),0
BOMET,Farming,152564
BOMET,Tea,50704
