crop_id,county_id,crop_name,crop_count
260,26,"Khat (Miraa)",0
261,27,Farming,141547
262,27,Tea,0
263,27,Coffee,0
264,27,Avocado,8430
265,27,Citrus,1376
266,27,Mango,2505
267,27,Coconut,0
268,27,Macadamia,0
269,27,"Cashew Nut",0
270,27,"Khat (Miraa)",0
271,28,Farming,74881
272,28,Tea,751
273,28,Coffee,1390
274,28,Avocado,5224
275,28,Citrus,1632
276,28,Mango,6430
277,28,Coconut,0
278,28,Macadamia,518
279,28,"Cashew Nut",0
280,28,"Khat (Miraa)",0
281,29,Farming,148887
282,29,Tea,37564
283,29,Coffee,11044
284,29,Avocado,29356
285,29,Citrus,1202
286,29,Mango,5806
287,29,Coconut,0
288,29,Macadamia,0
289,29,"Cashew Nut",0
290,29,"Khat (Miraa)",0
291,30,Farming,100465
292,30,Tea,0
293,30,Coffee,3069
294,30,Avocado,12372
295,30,Citrus,2605
296,30,Mango,10600
297,30,Coconut,0
298,30,Macadamia,1673
299,30,"Cashew Nut",0
300,30,"Khat (Miraa)",0
301,31,Farming,90729
302,31,Tea,0
303,31,Coffee,0
304,31,Avocado,5273
305,31,Citrus,2121
306,31,Mango,2103
307,31,Coconut,0
308,31,Macadamia,773
309,31,"Cashew Nut",0
310,31,"Khat (Miraa)",0
311,32,Farming,283652
312,32,Tea,10041
313,32,Coffee,0
314,32,Avocado,20209
315,32,Citrus,4332
316,32,Mango,6560
317,32,Coconut,0
318,32,Macadamia,0
319,32,"Cashew Nut",0
320,32,"Khat (Miraa)",0
321,33,Farming,181706
322,33,Tea,0
323,33,Coffee,0
324,33,Avocado,13430
325,33,Citrus,1784
326,33,Mango,2332
327,33,Coconut,0
328,33,Macadamia,0
329,33,"Cashew Nut",0
330,33,"Khat (Miraa)",0
331,34,Farming,97565
332,34,Tea,0
333,34,Coffee,0
334,34,Avocado,2994
335,34,Citrus,0
336,34,Mango,2776
337,34,Coconut,0
338,34,Macadamia,0
339,34,"Cashew Nut",0
340,34,"Khat (Miraa)",0
341,35,Farming,150845
342,35,Tea,55837
343,35,Coffee,24774
344,35,Avocado,40748
345,35,Citrus,2283
346,35,Mango,5588
347,35,Coconut,0
348,35,Macadamia,0
349,35,"Cashew Nut",0
350,35,"Khat (Miraa)",0
351,36,Farming,152564
352,36,Tea,50704
353,36,Coffee,1940
354,36,Avocado,44903
355,36,Citrus,3298
356,36,Mango,3679
357,36,Coconut,0
358,36,Macadamia,0
359,36,"Cashew Nut",0
360,36,"Khat (Miraa)",0
361,37,Farming,335269
362,37,Tea,4644
363,37,Coffee,2990
364,37,Avocado,63886
365,37,Citrus,4435
366,37,Mango,49075
367,37,Coconut,0
368,37,Macadamia,2292
369,37,"Cashew Nut",0
370,37,"Khat (Miraa)",0
371,38,Farming,113753
372,38,Tea,11273
373,38,Coffee,1717
374,38,Avocado,34321
375,38,Citrus,1233
376,38,Mango,26209
377,38,Coconut,0
378,38,Macadamia,0
379,38,"Cashew Nut",0
380,38,"Khat (Miraa)",0
381,39,Farming,280445
382,39,Tea,2047
383,39,Coffee,37773
384,39,Avocado,73765
385,39,Citrus,5268
386,39,Mango,54581
387,39,Coconut,0
388,39,Macadamia,2428
389,39,"Cashew Nut",0
390,39,"Khat (Miraa)",0
391,40,Farming,148257
392,40,Tea,0
393,40,Coffee,1498
394,40,Avocado,27498
395,40,Citrus,3616
396,40,Mango,35530
397,40,Coconut,0
398,40,Macadamia,1148
399,40,"Cashew Nut",0
400,40,"Khat (Miraa)",0
401,41,Farming,194362
402,41,Tea,0
403,41,Coffee,0
404,41,Avocado,31729
405,41,Citrus,7350
406,41,Mango,44660
407,41,Coconut,0
408,41,Macadamia,1262
409,41,"Cashew Nut",0
410,41,"Khat (Miraa)",0
411,42,Farming,147117
412,42,Tea,0
413,42,Coffee,0
414,42,Avocado,19478
415,42,Citrus,5265
416,42,Mango,28305
417,42,Coconut,0
418,42,Macadamia,0
419,42,"Cashew Nut",0
420,42,"Khat (Miraa)",0
421,43,Farming,193812
422,43,Tea,1365
423,43,Coffee,2864
424,43,Avocado,29880
425,43,Citrus,7496
426,43,Mango,34557
427,43,Coconut,0
428,43,Macadamia,1554
429,43,"Cashew Nut",0
430,43,"Khat (Miraa)",0
431,44,Farming,169958
432,44,Tea,0
433,44,Coffee,3864
434,44,Avocado,33338
435,44,Citrus,4444
436,44,Mango,27231
437,44,Coconut,0
438,44,Macadamia,1196
439,44,"Cashew Nut",0
440,44,"Khat (Miraa)",0
441,45,Farming,219853
442,45,Tea,67394
443,45,Coffee,53580
444,45,Avocado,88326
445,45,Citrus,3850
446,45,Mango,17144
447,45,Coconut,0
448,45,Macadamia,0
449,45,"Cashew Nut",0
450,45,"Khat (Miraa)",0
451,46,Farming,110028
452,46,Tea,62706
453,46,Coffee,25936
454,46,Avocado,43349
455,46,Citrus,2020
456,46,Mango,3502
457,46,Coconut,0
458,46,Macadamia,0
459,46,"Cashew Nut",0
460,46,"Khat (Miraa)",0
461,47,Farming,32258
462,47,Tea,0
463,47,Coffee,0
464,47,Avocado,0
465,47,Citrus,0
466,47,Mango,0
467,47,Coconut,0
468,47,Macadamia,0
469,47,"Cashew Nut",0
470,47,"Khat (Miraa)",0
